Dataset Link,API endpoint,Portal Type,City,State,Dataset Type
https://data-lansing.opendata.arcgis.com/datasets/32b48df10c674a7aace77071046ba272_0,https://opendata.arcgis.com/datasets/32b48df10c674a7aace77071046ba272_0.csv,Socrata,Lansing,MI,Traffic stops
https://data-lansing.opendata.arcgis.com/datasets/a868967f0f1b427db8575e391ce5f74c_0?geometry=-85.067%2C42.584%2C-84.024%2C42.761,https://opendata.arcgis.com/datasets/a868967f0f1b427db8575e391ce5f74c_0.csv?outSR=%7B%22latestWkid%22%3A3857%2C%22wkid%22%3A102100%7D,Socrata,Lansing,MI,Use of Force
https://data-lansing.opendata.arcgis.com/datasets/e7eb75c5e9d9490b809d08e4849b31d1_0,https://opendata.arcgis.com/datasets/e7eb75c5e9d9490b809d08e4849b31d1_0.csv,Socrata,Lansing,MI,Officer Complaints
https://opendata.dc.gov/datasets/stop-incidents,https://opendata.arcgis.com/datasets/cc1b18f4c6954ae891d2e262b991b06a_41.csv,Socrata,Washington,DC,Stop and Frisk
https://opendata.dc.gov/datasets/stop-incidents,https://opendata.arcgis.com/datasets/cc1b18f4c6954ae891d2e262b991b06a_41.csv,Socrata,Washington,DC,Traffic stops
https://data.albanyny.gov/Public-Safety/APD-Citizen-Complaints/s2gk-irhz,https://data.albanyny.gov/Public-Safety/APD-Citizen-Complaints/s2gk-irhz,Socrata,Albany,NY,Officer Complaints
https://data.albanyny.gov/Public-Safety/APD-Officer-Use-Of-Force-Incidents/hiwd-25w2,https://data.albanyny.gov/resource/hiwd-25w2.csv,Socrata,Albany,NY,Use of Force
https://data-southbend.opendata.arcgis.com/datasets/police-use-of-force-incidents?geometry=-86.752%2C41.584%2C-85.709%2C41.764,https://opendata.arcgis.com/datasets/3bc26b9f05a345ec906f1cc0c09060fc_2.csv,Socrata,South Bend,IN,Use of Force
https://data-southbend.opendata.arcgis.com/datasets/community-complaints-reported-to-sbpd,https://opendata.arcgis.com/datasets/a4097198825e493a839ff83e8cbd56c3_1.csv,Socrata,South Bend,IN,Officer Complaints
https://data.ct.gov/Public-Safety/Traffic-Stops-Racial-Profiling-Prohibition-Project/nahi-zqrt,https://data.ct.gov/resource/nahi-zqrt.csv,Socrata,Hartford,CT,Traffic stops
https://data.memphistn.gov/Public-Safety/Police-Headcount/iwk8-fxnz,https://data.memphistn.gov/resource/iwk8-fxnz.csv,Socrata,Memphis,TN,Force Demographics
https://data.seattle.gov/Public-Safety/Use-Of-Force/ppi5-g2bj,https://data.seattle.gov/resource/ppi5-g2bj.csv,Socrata,Seattle,WA,Use of Force
https://data.seattle.gov/Public-Safety/Office-of-Police-Accountability-Complaints/99yi-dthu,https://data.seattle.gov/resource/99yi-dthu.csv,Socrata,Seattle,WA,Officer Complaints
https://data.seattle.gov/Public-Safety/Terry-Stops/28ny-9ts8,https://data.seattle.gov/resource/28ny-9ts8.csv,Socrata,Seattle,WA,Stop and Frisk
https://information.stpaul.gov/Public-Safety/Traffic-Stop-Dataset/kkd6-vvns,https://information.stpaul.gov/resource/kkd6-vvns.csv,Socrata,Saint Paul,MN,Traffic stops
https://data4-faync.opendata.arcgis.com/search?tags=Traffic%20Stops,https://opendata.arcgis.com/api/v3/datasets/fd382c6e7a854f7da962ab66af9d0770_0/downloads/data?format=csv&spatialRefId=4326,ArcGIS,Fayetteville,NC,Traffic stops
https://opendata.minneapolismn.gov/datasets/cityoflakes::police-use-of-force/about,,ArcGIS,Minneapolis,MN,Use of Force
https://opendata.minneapolismn.gov/datasets/cityoflakes::police-officer-involved-shootings/about,,ArcGIS,Minneapolis,MN,Use of Force
https://gisdata.tucsonaz.gov/datasets/2b0260ab5a0f43f8a0caa90592564f62_36/explore,https://opendata.arcgis.com/api/v3/datasets/2b0260ab5a0f43f8a0caa90592564f62_36/downloads/data?format=csv&spatialRefId=2868,ArcGIS,Tucson,AZ,Use of Force
https://gisdata.tucsonaz.gov/datasets/abb29a901bfd4d63a8148e0b34d99c48_34/explore,https://opendata.arcgis.com/api/v3/datasets/abb29a901bfd4d63a8148e0b34d99c48_34/downloads/data?format=csv&spatialRefId=2868,ArcGIS,Tucson,AZ,Use of Force
https://policedata.coloradosprings.gov/Use-of-Force/Use-of-Force-Reports/ii9t-cvd6,https://policedata.coloradosprings.gov/resource/ii9t-cvd6.csv,Socrata,Colorado Springs,CO,Use of Force
https://policedata.coloradosprings.gov/Employees/Demographics-of-Sworn-Officers/stu9-jwhy,https://policedata.coloradosprings.gov/Employees/Demographics-of-Sworn-Officers/stu9-jwhy,Socrata,Colorado Springs,CO,Force Demographics
https://data.cityoforlando.net/Orlando-Police/OPD-Officer-Involved-Shootings/6kz6-6c7n,https://data.cityoforlando.net/resource/6kz6-6c7n.csv,Socrata,Orlando,FL,Use of Force
https://chn-az.municipal.systems/sources/ee3cc4be-828d-4975-87f4-5a02c2ed3d85,https://chn-az.municipal.systems/api,Socrata,Chandler,AZ,Use of Force
https://data-rpdny.opendata.arcgis.com/datasets/b57f1fc96d044f00ae9df541b2c2b4ea_0/explore,https://opendata.arcgis.com/api/v3/datasets/b57f1fc96d044f00ae9df541b2c2b4ea_0/downloads/data?format=csv&spatialRefId=4326,Socrata,Rochester,NY,Force Demographics
https://data.cityofnewyork.us/Public-Safety/The-Stop-Question-and-Frisk-Data/ftxv-d5ix,https://www1.nyc.gov/site/nypd/stats/reports-analysis/stopfrisk.page,Socrata,New York,NY,Stop and Frisk
https://data.cityofnewyork.us/Public-Safety/NYPD-Use-of-Force-Incidents/f4tj-796d,https://data.cityofnewyork.us/Public-Safety/NYPD-Use-of-Force-Incidents/f4tj-796d,Socrata,New York,NY,Use of Force
https://data.cityofnewyork.us/Public-Safety/Civilian-Complaint-Review-Board-CCRB-Complaints-Re/63nx-cpi9,https://data.cityofnewyork.us/resource/63nx-cpi9.csv,Socrata,New York,NY,Officer Complaints
https://data.cityofnewyork.us/Public-Safety/NYPD-Personnel-Demographics/5vr7-5fki,https://data.cityofnewyork.us/resource/5vr7-5fki.csv,Socrata,New York,NY,Force Demographics
